frame,id,x1,y1,x2,y2
0,player11,957.673583984375,150.61581420898438,1047.26708984375,261.7691650390625
0,player12,921.6185302734375,56.380985260009766,960.29150390625,130.73785400390625
0,player21,498.6317138671875,664.219970703125,660.0750732421875,836.7044067382812
1,player11,957.7212524414062,150.6231231689453,1047.1058349609375,261.3400573730469
1,player12,921.5079345703125,56.32356643676758,960.273193359375,130.743896484375
1,player21,498.50506591796875,664.2095336914062,660.02880859375,836.709228515625
2,player11,957.004638671875,149.22848510742188,1036.5345458984375,258.1046142578125
2,player12,923.1051635742188,57.11811065673828,960.2870483398438,130.82691955566406
2,player21,498.5111999511719,665.0751953125,661.0978393554688,837.949462890625
3,player11,954.5390014648438,148.5337677001953,1041.6011962890625,261.0643615722656
3,player12,922.3941040039062,57.25126647949219,960.1102294921875,130.75233459472656
3,player21,499.7382507324219,665.6491088867188,665.1903686523438,836.2076416015625
4,player11,953.496337890625,147.910888671875,1037.5882568359375,262.4149475097656
4,player12,920.8424682617188,56.70721435546875,960.0014038085938,132.0692596435547
4,player21,499.8200988769531,666.985107421875,671.1162109375,836.2762451171875
4,player22,1460.6170654296875,705.7357177734375,1622.990234375,889.5380859375
5,player11,951.9882202148438,146.83584594726562,1027.1947021484375,260.0323791503906
5,player12,920.2798461914062,56.252769470214844,959.263427734375,132.87139892578125
5,player21,499.7773742675781,667.4031982421875,674.9493408203125,835.6328735351562
5,player22,1461.788818359375,707.0858764648438,1624.9364013671875,888.1314086914062
6,player11,949.8447265625,146.1262969970703,1013.5314331054688,260.9114685058594
6,player21,499.453125,667.4554443359375,676.7162475585938,835.3687744140625
6,player22,1463.7587890625,707.8076171875,1627.4759521484375,888.8448486328125
7,player11,945.606201171875,145.92262268066406,1001.6328735351562,262.2505798339844
7,player21,498.81390380859375,667.537353515625,675.704345703125,835.23974609375
7,player22,1463.905517578125,708.7938232421875,1629.6741943359375,888.809326171875
8,player11,940.4408569335938,144.4670867919922,988.7723388671875,262.8841857910156
8,player12,921.3309936523438,56.903873443603516,957.5774536132812,131.4270782470703
