frame,ball_x,ball_y,player11_x1,player11_y1,player11_x2,player11_y2,player12_x1,player12_y1,player12_x2,player12_y2,player21_x1,player21_y1,player21_x2,player21_y2,player22_x1,player22_y1,player22_x2,player22_y2,shot_made,shot_player,shot_type
39,916.3333333333334,115.83333333333333,766.2,145.4,859.7,245.3,925.8,59.7,958.7,132.2,454.7,665.4,627.0,824.7,1483.2,677.8,1658.0,869.0,False,,
40,914.6666666666666,115.66666666666667,764.0,146.9,859.6,246.0,926.1,59.7,959.6,132.3,455.7,665.3,635.0,831.8,1482.6,677.5,1655.9,868.7,False,,
41,913.0,115.5,762.9,149.2,859.2,247.1,926.9,60.8,960.3,133.2,457.1,665.2,633.0,834.5,1482.4,676.8,1654.5,868.1,False,,
42,911.3333333333334,115.33333333333333,762.6,150.9,859.0,248.1,927.5,61.7,960.7,133.8,458.9,665.5,633.1,835.8,1481.2,675.5,1652.1,867.7,False,,
43,909.6666666666666,115.16666666666667,762.7,152.1,856.6,248.4,927.5,62.6,961.0,134.8,460.5,665.9,640.1,836.1,1480.9,674.6,1650.6,867.8,False,,
44,908.0,115.0,763.2,153.5,856.1,247.8,927.7,63.0,961.2,135.5,462.9,665.9,636.9,836.1,1480.6,673.3,1649.7,868.0,False,,
45,908.0,113.0,763.7,155.0,853.4,247.1,927.9,63.7,962.0,136.6,464.7,666.0,642.6,836.2,1480.8,672.1,1648.7,867.9,False,,
46,907.0,110.0,764.2,155.5,850.2,246.5,928.0,63.8,962.5,137.6,468.3,666.3,636.2,836.3,1480.8,670.3,1648.4,868.2,False,,
47,888.5,92.25,764.7,155.8,849.3,246.4,928.8,64.0,963.1,137.6,471.8,666.6,626.2,836.7,1480.8,668.5,1648.2,868.3,False,,
48,870.0,74.5,764.8,156.1,849.0,245.8,928.3,64.2,963.3,137.3,475.2,667.4,621.0,836.8,1479.6,666.6,1647.8,868.3,False,,
49,851.5,56.75,764.9,156.3,848.9,246.2,929.0,64.5,963.6,137.1,478.6,667.8,616.8,836.7,1479.0,665.4,1647.6,867.8,False,,
